19,ABFRL,Consumer Services,INE647O01011,EQ,Aditya Birla Fashion and Retail Ltd.,,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,NIFTY_MIDCAP100,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
20,ABSLAMC,Financial Services,INE404A01024,EQ,Aditya Birla Sun Life AMC Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,,NIFTY_SMALLCAP250,,NIFTY_TOTALMARKET
21,ADVENZYMES,Fast Moving Consumer Goods,INE837H01020,EQ,Advanced Enzyme Tech Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,,NIFTY_SMALLCAP250,,NIFTY_TOTALMARKET
22,AEGISCHEM,Oil Gas & Consumable Fuels,INE208C01025,EQ,Aegis Logistics Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,NIFTY_SMALLCAP100,NIFTY_SMALLCAP250,,NIFTY_TOTALMARKET
23,AFFLE,Information Technology,INE00WC01027,EQ,Affle (India) Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
24,AHLUCONT,Construction,INE758C01029,EQ,Ahluwalia Contracts (India) Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
25,AJANTPHARM,Healthcare,INE031B01049,EQ,Ajanta Pharmaceuticals Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
26,AKZOINDIA,Consumer Durables,INE133A01011,EQ,Akzo Nobel India Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
27,ALEMBICLTD,Realty,INE426A01027,EQ,Alembic Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
28,APLLTD,Healthcare,INE901L01018,EQ,Alembic Pharmaceuticals Ltd.,,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,NIFTY_MIDCAP100,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
29,ALKEM,Healthcare,INE540L01014,EQ,Alkem Laboratories Ltd.,,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,NIFTY_MIDCAP100,NIFTY_MIDCAP150,NIFTY_MIDCAP50,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
30,ALKYLAMINE,Chemicals,INE150B01039,EQ,Alkyl Amines Chemicals Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
31,ALLCARGO,Services,INE418H01029,EQ,Allcargo Logistics Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,NIFTY_SMALLCAP100,NIFTY_SMALLCAP250,,NIFTY_TOTALMARKET
32,ALOKINDS,Textiles,INE270A01029,BE,Alok Industries Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,NIFTY_SMALLCAP100,NIFTY_SMALLCAP250,NIFTY_SMALLCAP50,NIFTY_TOTALMARKET
33,AMARAJABAT,Automobile and Auto Components,INE885A01032,EQ,Amara Raja Batteries Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,NIFTY_SMALLCAP100,NIFTY_SMALLCAP250,NIFTY_SMALLCAP50,NIFTY_TOTALMARKET
34,AMBER,Consumer Durables,INE371P01015,EQ,Amber Enterprises India Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,NIFTY_SMALLCAP100,NIFTY_SMALLCAP250,NIFTY_SMALLCAP50,NIFTY_TOTALMARKET
35,AMBUJACEM,Construction Materials,INE079A01024,EQ,Ambuja Cements Ltd.,NIFTY_100,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,,,,NIFTY_NEXT50,,,,NIFTY_TOTALMARKET
