,Company Name,Industry,Symbol,Series,ISIN Code,nifty100,nifty200,nifty500,nifty500Multicap502525,nifty50,niftylargemidcap250,niftymicrocap250,niftymidcap100,niftymidcap150,niftymidcap50,niftymidcapselect,niftymidsmallcap400,niftynext50,niftysmallcap100,niftysmallcap250,niftysmallcap50
46,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,1,1,1,1,,1,,,,,,,1,,,
47,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,1,1,1,1,,1,,,,,,,1,,,
48,ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,1,1,1,1,1,1,,,,,,,,,,
49,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,1,1,1,1,,1,,,,,,,1,,,
50,Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,1,1,1,1,,1,,,,,,,1,,,
51,IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,1,1,1,1,1,1,,,,,,,,,,
52,Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024,1,1,1,1,,1,,,,,,,1,,,
53,Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,1,1,1,1,1,1,,,,,,,,,,
54,InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,1,1,1,1,,1,,,,,,,1,,,
55,JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,1,1,1,1,1,1,,,,,,,,,,
56,Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,1,1,1,1,,1,,,,,,,1,,,
57,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,1,1,1,1,1,1,,,,,,,,,,
58,Larsen & Toubro Infotech Ltd.,Information Technology,LTI,EQ,INE214T01019,1,1,1,1,,1,,,,,,,1,,,
59,Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,1,1,1,1,1,1,,,,,,,,,,
60,Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,1,1,1,1,,1,,,,,,,1,,,
61,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,1,1,1,1,1,1,,,,,,,,,,
62,Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,1,1,1,1,,1,,,,,,,1,,,
63,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,1,1,1,1,1,1,,,,,,,,,,
64,MindTree Ltd.,Information Technology,MINDTREE,EQ,INE018I01017,1,1,1,1,,1,,,,,,,1,,,
65,Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,1,1,1,1,,1,,,,,,,1,,,
66,NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,1,1,1,1,,1,,,,,,,1,,,
